stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
1,800000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
1,835000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
1,867000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
1,900000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
1,934000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
1,968000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,1000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,34000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,67000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,100000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,134000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,167000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,200000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,234000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,267000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,300000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,334000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,367000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,400000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,434000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,470000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,500000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,534000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,567000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,600000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,634000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,667000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,700000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,734000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,767000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,800000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,834000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,867000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,900000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,936000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
2,968000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,0,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,34000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,67000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,100000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,134000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,167000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,200000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,234000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,267000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,300000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
3,334000000,world,base_link,-0.000000000,-2.500000000,-0.000000000,0.000000000,0.000000000,0.000000000
